time_sec,bus_id,stop_idx,onboard,headway_min
20700.000000,1,9,2224,1.333333
20700.000000,2,9,2223,1.300000
20700.000000,3,9,2221,1.333333
20700.000000,4,9,2220,1.333333
20760.000000,0,9,2224,2.333333
20760.000000,1,9,2224,2.333333
20760.000000,2,9,2223,2.300000
20760.000000,3,9,2221,2.333333
20760.000000,4,9,2220,2.333333
20820.000000,0,9,2224,3.333333
20820.000000,1,9,2224,3.333333
20820.000000,2,9,2223,3.300000
20820.000000,3,9,2221,3.333333
20820.000000,4,9,2220,3.333333
20880.000000,0,9,2224,4.333333
20880.000000,1,9,2224,4.333333
20880.000000,2,9,2223,4.300000
20880.000000,3,9,2221,4.333333
20880.000000,4,9,2220,4.333333
20940.000000,0,10,2234,5.333333
20940.000000,1,10,2233,5.333333
20940.000000,2,10,2233,5.300000
20940.000000,3,10,2231,5.333333
20940.000000,4,10,2230,5.333333
21000.000000,0,10,2264,6.333333
21000.000000,1,10,2263,6.333333
21000.000000,2,10,2263,6.300000
21000.000000,3,10,2261,6.333333
21000.000000,4,10,2260,6.333333
21060.000000,0,10,2275,0.600000
21060.000000,1,10,2275,0.633333
21060.000000,2,10,2275,0.600000
21060.000000,3,10,2273,0.600000
21060.000000,4,10,2272,0.633333
21120.000000,0,10,2275,1.600000
21120.000000,1,10,2275,1.633333
21120.000000,2,10,2275,1.600000
21120.000000,3,10,2273,1.600000
21120.000000,4,10,2272,1.633333
21180.000000,0,10,2275,2.600000
21180.000000,1,10,2275,2.633333
21180.000000,2,10,2275,2.600000
21180.000000,3,10,2273,2.600000
21180.000000,4,10,2272,2.633333
21240.000000,0,10,2275,3.600000
21240.000000,1,10,2275,3.633333
21240.000000,2,10,2275,3.600000
21240.000000,3,10,2273,3.600000
21240.000000,4,10,2272,3.633333
21300.000000,0,10,2275,4.600000
21300.000000,1,10,2275,4.633333
21300.000000,2,10,2275,4.600000
21300.000000,3,10,2273,4.600000
21300.000000,4,10,2272,4.633333
21360.000000,0,11,2294,5.600000
21360.000000,1,11,2293,5.633333
21360.000000,2,11,2293,5.600000
21360.000000,3,11,2292,5.600000
21360.000000,4,11,2290,5.633333
21420.000000,0,11,2319,0.166667
21420.000000,1,11,2318,0.166667
21420.000000,2,11,2319,0.166667
21420.000000,3,11,2317,0.166667
21420.000000,4,11,2315,0.166667
21480.000000,0,11,2319,1.166667
21480.000000,1,11,2318,1.166667
21480.000000,2,11,2319,1.166667
21480.000000,3,11,2317,1.166667
21480.000000,4,11,2315,1.166667
21540.000000,0,11,2319,2.166667
21540.000000,1,11,2318,2.166667
21540.000000,2,11,2319,2.166667
21540.000000,3,11,2317,2.166667
21540.000000,4,11,2315,2.166667
21600.000000,0,11,2319,3.166667
21600.000000,1,11,2318,3.166667
21600.000000,2,11,2319,3.166667
21600.000000,3,11,2317,3.166667
21600.000000,4,11,2315,3.166667
21660.000000,0,11,2319,4.166667
21660.000000,1,11,2318,4.166667
21660.000000,2,11,2319,4.166667
21660.000000,3,11,2317,4.166667
21660.000000,4,11,2315,4.166667
21720.000000,0,12,2325,5.166667
21720.000000,1,12,2324,5.166667
21720.000000,2,12,2325,5.166667
21720.000000,3,12,2323,5.166667
21720.000000,4,12,2321,5.166667
21780.000000,0,12,2355,6.166667
21780.000000,1,12,2354,6.166667
21780.000000,2,12,2355,6.166667
21780.000000,3,12,2353,6.166667
21780.000000,4,12,2351,6.166667
21840.000000,0,12,2367,0.566667
